teamname,playername,dateupdated,plink,tdate,tweet,polarity,subjectivity,approval,numrt,numfav
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/NotDeadRyanDunn/status/1264621721421672448,2020-05-24 18:18:08+00:00,"Much like Joe Thornton, my beard is gone now. Also like Joe Thornton I have not won a Stanley Cup either.",0.2,0.2,0.16,0,3
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthorn915/status/1264607244487921670,2020-05-24 17:20:37+00:00,To quote @JohnCena “Y’all can choke on a shit sandwich with no bread!” #ACShow,-0.25,0.8,-0.05,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthorn915/status/1264575850374144000,2020-05-24 15:15:52+00:00,Mike Lindell sells them!,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264532811064774656,2020-05-24 12:24:50+00:00,"We all knew this would happen. The irony is he criticized Obama during Ebola breakout. He is so weak, no sense of duty to our country.",-0.375,0.625,-0.141,1,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Gemini_Krewe4/status/1264518960017362944,2020-05-24 11:29:48+00:00,and Joe Thornton is the gatekeeper of my list ,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264511268976762880,2020-05-24 10:59:14+00:00,"Please excuse him as he's terribly obsessed with death lately. Bad numbers, bad ratings, bad polls, bad press, bad everything.",-0.579,0.626,-0.216,0,3
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264510378794520576,2020-05-24 10:55:42+00:00,Capitalizing on others work again?,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264505606737625088,2020-05-24 10:36:44+00:00,Practicing your marketing skills? Try doing the right thing?,0.286,0.536,0.133,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RadtownUSA/status/1264457059933679617,2020-05-24 07:23:50+00:00,Joe Thornton when he was a bruiser for the Boston Bruins!? #GEM,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1264419892276744193,2020-05-24 04:56:08+00:00,"The #COVID19 wasn’t as bad as they said it would be, and we have fulfilled why we were quarantined #EndCovidScamNow #AmericaFirst #OpenUpAmerica",-0.7,0.667,-0.233,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1264419381624406017,2020-05-24 04:54:07+00:00,If that’s what #Biden and the #democrats believe then I don’t want to be #politicallyblack. The whole idea that what America needs Europe has is stupid. #AmericaFirst why should we listen to Europe when we fought a war to get rid of them?,-0.3,0.7,-0.09,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/JBaehler/status/1264416398593458178,2020-05-24 04:42:15+00:00,"Joe Thornton concussed David Perron, out for over a year, and then the whole Sharks franchise tried to claim he embellished so lol",0.5,0.55,0.225,0,3
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/nhlshitpost/status/1264403490517942272,2020-05-24 03:50:58+00:00,Jay Beagle just caught PK Subban playing beach volleyball with Joe Thornton. He joined in.,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/nhlshitpost/status/1264395960186175493,2020-05-24 03:21:02+00:00,Joe Thornton has such kind eyebrows.,0.3,0.7,0.09,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/PhillyBeach93/status/1264395214388629504,2020-05-24 03:18:05+00:00,"in other sports! NFL: Sherman (now on my team); MLB: dad was a Bonds stan, so I liked him; NHL: Joe Thornton was a nice guy; Soccer: Chicharito (int'l), Stevie G (club)",0.348,0.725,0.096,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthorn915/status/1264391455067508744,2020-05-24 03:03:08+00:00,"Tony Hawk needs to hear it, and he would probably agree!",0.0,0.0,0.0,0,2
